School, Room, Asset, Serial Number, Model, Physical Status, Assignment Status
FHS,102,7112,HY3A91BF608253,Samsung Chromebook,Loaner,Loaner
FHS,102,7293,HY3A91BF708560,Samsung Chromebook,Loaner,Loaner
FHS,102,6413,HY3A91BF604752,Samsung Chromebook,Loaner,Loaner
FHS,102,5164,HY3A91KD746205,Samsung Chromebook,Loaner,Loaner
FHS,102,5120,HY3A91KD746160,Samsung Chromebook,Loaner,Loaner
FHS,102,6462,0UG99FBF600317,Samsung Chromebook,Loaner,Loaner
FHS,102,6822,HY3A91AF609139,Samsung Chromebook,Loaner,Loaner
FHS,103,6690,HY3A91AF604842,Samsung Chromebook,Loaner,Loaner
FHS,103,6559,HY3A91AF609815,Samsung Chromebook,Loaner,Loaner
FHS,103,7121,HY3A91BF607878,Samsung Chromebook,Loaner,Loaner
FHS,104,7852,3NJTB62,Dell Chromebook 11 (3120),Loaner,Loaner
FHS,104,6489,HY3A91BF608491,Samsung Chromebook,Loaner,Loaner
FHS,105,6841,HY3A91BF608802,Samsung Chromebook,Loaner,Loaner
FHS,105,6780,HY3A91BF608915,Samsung Chromebook,Loaner,Loaner
FHS,105,5147,HY3A91JD704319,Samsung Chromebook,Loaner,Loaner
FHS,105,2802,HY3A91ND212293,Samsung Chromebook,Loaner,Loaner
FHS,105,5871,HY3A91KD745988,Samsung Chromebook,Loaner,Loaner
FHS,106,7117,HY3A91BF608272,Samsung Chromebook,Loaner,Loaner
FHS,106,6869,HY3A91AF604429,Samsung Chromebook,Loaner,Loaner
FHS,106,5578,HY3A91TD630489,Samsung Chromebook,Loaner,Loaner
FHS,107,6478,HY3A91AF609007,Samsung Chromebook,Loaner,Loaner
FHS,107,6637,HY3A91BF607336,Samsung Chromebook,Loaner,Loaner
FHS,108,6480,HY3A91AF607962,Samsung Chromebook,Loaner,Loaner
FHS,108,2753,HY3A91ND212474,Samsung Chromebook,Loaner,Loaner
FHS,108,6485,HY3A91BF608563,Samsung Chromebook,Loaner,Loaner
FHS,401,6786,HY3A91BF608778,Samsung Chromebook,Loaner,Loaner
